idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
217,172,,PORTUGUÊS,1.0,MÉDIA DIAGNÓSTICA,241,5,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
307,425,,INGLÊS,9.0,1º SEMESTRE,279,2,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-04 00:00:00,302.0,False
260,291,,INGLÊS,6.0,DIAGNOSTICA 2,281,4,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-04-28 00:00:00,247.0,False
261,174,,MATEMÁTICA,2.5,MÉDIA DIAGNÓSTICA,241,5,14.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-07 00:00:00,299.0,False
99,208,,PORTUGUÊS,7.0,DIAGNOSTICA 2,263,4,19.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
240,452,,INGLÊS,0.0,1º SEMESTRE,279,2,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 19:33:00,160.0,False
186,185,,INGLÊS,8.5,1º SEMESTRE,243,2,13.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
25,283,,INGLÊS,3.0,MÉDIA DIAGNÓSTICA,283,5,20.0,P,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-28 00:00:00,306.0,False
321,289,,INGLÊS,3.5,MÉDIA DIAGNÓSTICA,283,5,17.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
304,256,,INGLÊS,4.0,MÉDIA DIAGNÓSTICA,247,5,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
96,300,,INGLÊS,6.5,DIAGNOSTICA 1,278,1,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
215,160,,PORTUGUÊS,2.0,DIAGNOSTICA 1,230,1,12.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-16 14:17:00,167.0,False
299,170,Mudou de bairro/cidade/distância,PORTUGUÊS,0.0,DIAGNOSTICA 1,236,1,13.0,B,M,2022-01-01 00:00:00,2022-05-31 00:00:00,2022-02-03 00:00:00,117.0,True
159,243,,MATEMÁTICA,6.0,DIAGNOSTICA 2,251,4,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
161,200,,MATEMÁTICA,5.0,MÉDIA DIAGNÓSTICA,259,5,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
310,194,,MATEMÁTICA,5.0,DIAGNOSTICA 1,242,1,15.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
109,300,,INGLÊS,9.5,1º SEMESTRE,279,2,19.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
332,276,,INGLÊS,0.0,DIAGNOSTICA 1,278,1,16.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
246,185,,MATEMÁTICA,5.0,MÉDIA DIAGNÓSTICA,247,5,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-02 00:00:00,332.0,False
182,425,,INGLÊS,4.5,DIAGNOSTICA 2,281,4,17.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-04 00:00:00,302.0,False
227,415,,PORTUGUÊS,7.0,1º SEMESTRE,237,2,14.0,P,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
192,170,,MATEMÁTICA,1.0,DIAGNOSTICA 2,239,4,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
280,242,,INGLÊS,4.5,MÉDIA DIAGNÓSTICA,247,5,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
308,183,,MATEMÁTICA,7.0,MÉDIA DIAGNÓSTICA,241,5,12.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
333,186,,INGLÊS,3.0,DIAGNOSTICA 2,245,4,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
143,207,,MATEMÁTICA,5.0,DIAGNOSTICA 1,248,1,17.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
167,202,,PORTUGUÊS,6.0,2º SEMESTRE,256,3,18.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
159,289,,INGLÊS,0.0,DIAGNOSTICA 1,278,1,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
293,177,,MATEMÁTICA,8.0,MÉDIA ANUAL,240,6,13.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
125,208,,PORTUGUÊS,5.0,DIAGNOSTICA 2,263,4,18.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
